    Nr,Imię i Nazwisko,typ,stage,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,średnia ocena
58,Xiaoxuan Li,punkty,2,22.0,18.0,21.0,23.0,20.0,18.0,21.0,20.0,16.0,23.0,18.0,,22.0,23.0,19.0,19.0,21.0,20.25
58,Xiaoxuan Li,korekta,2,22.0,18.25,21.0,22.25,20.0,18.25,21.0,20.0,18.25,22.25,18.25,0.0,22.0,22.25,19.0,19.0,21.0,20.3
59,Zhexiang Li,punkty,2,19.0,22.0,23.0,21.0,21.0,22.0,23.0,17.0,17.0,19.0,17.0,17.0,19.0,16.0,17.0,19.0,18.0,19.235294117647058
59,Zhexiang Li,korekta,2,19.0,21.24,21.24,21.0,21.0,21.24,21.24,17.24,17.24,19.0,17.24,17.24,19.0,17.24,17.24,19.0,18.0,19.08
57,Tianyou Li,punkty,2,23.0,20.0,23.0,21.0,24.0,18.0,23.0,23.0,24.0,23.0,19.0,22.0,19.0,22.0,20.0,23.0,22.0,21.705882352941178
57,Tianyou Li,korekta,2,23.0,20.0,23.0,21.0,23.71,19.71,23.0,23.0,23.71,23.0,19.71,22.0,19.71,22.0,20.0,23.0,22.0,21.86
62,Eric Lu,punkty,2,24.0,23.0,21.0,24.0,22.0,,24.0,25.0,18.0,22.0,24.0,,22.0,25.0,22.0,25.0,22.0,22.866666666666667
62,Eric Lu,korekta,2,24.0,23.0,21.0,24.0,22.0,0.0,24.0,24.87,20.87,22.0,24.0,0.0,22.0,24.87,22.0,24.87,22.0,23.03
63,Philipp Lynov,punkty,2,19.0,22.0,22.0,18.0,21.0,18.0,17.0,20.0,18.0,17.0,24.0,17.0,18.0,17.0,17.0,20.0,18.0,19.0
63,Philipp Lynov,korekta,2,19.0,21.0,21.0,18.0,21.0,18.0,17.0,20.0,18.0,17.0,21.0,17.0,18.0,17.0,17.0,20.0,18.0,18.71
64,Tianyao Lyu,punkty,2,19.0,17.0,20.0,24.0,21.0,20.0,22.0,21.0,18.0,21.0,20.0,20.0,25.0,24.0,,20.0,22.0,20.875
64,Tianyao Lyu,korekta,2,19.0,18.88,20.0,22.88,21.0,20.0,22.0,21.0,18.88,21.0,20.0,20.0,22.88,22.88,0.0,20.0,22.0,20.78
67,Ruben Micieli,punkty,2,23.0,17.0,23.0,21.0,21.0,18.0,17.0,21.0,19.0,19.0,21.0,17.0,20.0,15.0,16.0,20.0,17.0,19.11764705882353
67,Ruben Micieli,korekta,2,21.12,17.12,21.12,21.0,21.0,18.0,17.12,21.0,19.0,19.0,21.0,17.12,20.0,17.12,17.12,20.0,17.12,19.12
68,Nathalia Milstein,punkty,2,21.0,21.0,20.0,22.0,20.0,17.0,20.0,21.0,16.0,21.0,19.0,20.0,17.0,15.0,16.0,21.0,17.0,19.058823529411764
68,Nathalia Milstein,korekta,2,21.0,21.0,20.0,21.06,20.0,17.06,20.0,21.0,17.06,21.0,19.0,20.0,17.06,17.06,17.06,21.0,17.06,19.26
69,Yumeka Nakagawa,punkty,2,17.0,21.0,20.0,23.0,21.0,23.0,24.0,21.0,17.0,22.0,20.0,20.0,19.0,19.0,15.0,19.0,18.0,19.941176470588236
69,Yumeka Nakagawa,korekta,2,17.94,21.0,20.0,21.94,21.0,21.94,21.94,21.0,17.94,21.94,20.0,20.0,19.0,19.0,17.94,19.0,18.0,19.98
73,Vincent Ong,punkty,2,17.0,16.0,20.0,19.0,23.0,24.0,23.0,24.0,18.0,21.0,25.0,21.0,20.0,24.0,21.0,23.0,20.0,21.11764705882353
73,Vincent Ong,korekta,2,19.12,19.12,20.0,19.12,23.0,23.12,23.0,23.12,19.12,21.0,23.12,21.0,20.0,23.12,21.0,23.0,20.0,21.23
75,Piotr Pawlak,punkty,2,25.0,23.0,22.0,21.0,19.0,19.0,22.0,21.0,17.0,21.0,19.0,19.0,21.0,16.0,20.0,24.0,21.0,20.58823529411765
75,Piotr Pawlak,korekta,2,22.59,22.59,22.0,21.0,19.0,19.0,22.0,21.0,18.59,21.0,19.0,19.0,21.0,18.59,20.0,22.59,21.0,20.59
76,Yehuda Prokopowicz,punkty,2,23.0,22.0,23.0,22.0,21.0,17.0,18.0,22.0,16.0,22.0,19.0,21.0,21.0,20.0,19.0,19.0,19.0,20.235294117647058
76,Yehuda Prokopowicz,korekta,2,22.24,22.0,22.24,22.0,21.0,18.24,18.24,22.0,18.24,22.0,19.0,21.0,21.0,20.0,19.0,19.0,19.0,20.36
77,Hao Rao,punkty,2,16.0,18.0,22.0,20.0,21.0,17.0,17.0,24.0,17.0,19.0,17.0,22.0,22.0,21.0,18.0,18.0,19.0,19.294117647058822
77,Hao Rao,korekta,2,17.29,18.0,21.29,20.0,21.0,17.29,17.29,21.29,17.29,19.0,17.29,21.29,21.29,21.0,18.0,18.0,19.0,19.15
78,Anthony Ratinov,punkty,2,22.0,17.0,21.0,20.0,21.0,18.0,21.0,17.0,19.0,21.0,22.0,,19.0,21.0,20.0,20.0,21.0,20.0
78,Anthony Ratinov,korekta,2,22.0,18.0,21.0,20.0,21.0,18.0,21.0,18.0,19.0,21.0,22.0,0.0,19.0,21.0,20.0,20.0,21.0,20.13
81,Miyu Shindo,punkty,2,17.0,20.0,20.0,23.0,22.0,20.0,19.0,18.0,18.0,21.0,22.0,19.0,23.0,23.0,22.0,22.0,23.0,20.705882352941178
81,Miyu Shindo,korekta,2,18.71,20.0,20.0,22.71,22.0,20.0,19.0,18.71,18.71,21.0,22.0,19.0,22.71,22.71,22.0,22.0,22.71,20.82
83,Gabriele Strata,punkty,2,16.0,22.0,22.0,18.0,22.0,23.0,24.0,25.0,17.0,17.0,22.0,21.0,21.0,17.0,17.0,22.0,21.0,20.41176470588235
83,Gabriele Strata,korekta,2,18.41,22.0,22.0,18.41,22.0,22.41,22.41,22.41,18.41,18.41,22.0,21.0,21.0,18.41,18.41,22.0,21.0,20.63
3,Tomoharu Ushida,punkty,2,20.0,19.0,24.0,25.0,22.0,19.0,21.0,21.0,24.0,22.0,21.0,22.0,,22.0,20.0,18.0,19.0,21.1875
3,Tomoharu Ushida,korekta,2,20.0,19.19,23.19,23.19,22.0,19.19,21.0,21.0,23.19,22.0,21.0,22.0,0.0,22.0,20.0,19.19,19.19,21.08
5,Zitong Wang,punkty,2,22.0,22.0,23.0,21.0,22.0,,21.0,17.0,16.0,24.0,19.0,23.0,18.0,24.0,18.0,21.0,18.0,20.5625
5,Zitong Wang,korekta,2,22.0,22.0,22.56,21.0,22.0,0.0,21.0,18.56,18.56,22.56,19.0,22.56,18.56,22.56,18.56,21.0,18.56,20.69
11,Yifan Wu,punkty,2,21.0,19.0,21.0,24.0,21.0,17.0,23.0,22.0,18.0,20.0,23.0,20.0,19.0,18.0,18.0,20.0,22.0,20.352941176470587
11,Yifan Wu,korekta,2,21.0,19.0,21.0,22.35,21.0,18.35,22.35,22.0,18.35,20.0,22.35,20.0,19.0,18.35,18.35,20.0,22.0,20.32
12,Miki Yamagata,punkty,2,19.0,18.0,21.0,24.0,20.0,17.0,22.0,21.0,17.0,22.0,23.0,21.0,18.0,16.0,21.0,21.0,23.0,20.235294117647058
12,Miki Yamagata,korekta,2,19.0,18.24,21.0,22.24,20.0,18.24,22.0,21.0,18.24,22.0,22.24,21.0,18.24,18.24,21.0,21.0,22.24,20.35
15,William Yang,punkty,2,21.0,16.0,20.0,23.0,24.0,24.0,24.0,16.0,22.0,24.0,22.0,,21.0,25.0,24.0,25.0,21.0,22.0
15,William Yang,korekta,2,21.0,20.0,20.0,23.0,24.0,24.0,24.0,20.0,22.0,24.0,22.0,0.0,21.0,24.0,24.0,24.0,21.0,22.38
39,Yang (Jack) Gao,punkty,3,25.0,19.0,20.0,20.0,21.0,17.0,16.0,19.0,17.0,19.0,20.0,21.0,18.0,20.0,22.0,25.0,21.0,20.0
39,Yang (Jack) Gao,korekta,3,22.0,19.0,20.0,20.0,21.0,18.0,18.0,19.0,18.0,19.0,20.0,21.0,18.0,20.0,22.0,22.0,21.0,19.88
41,Eric Guo,punkty,3,17.0,18.0,21.0,23.0,19.0,18.0,22.0,21.0,18.0,19.0,24.0,19.0,19.0,17.0,18.0,22.0,20.0,19.705882352941178
41,Eric Guo,korekta,3,17.71,18.0,21.0,21.71,19.0,18.0,21.71,21.0,18.0,19.0,21.71,19.0,19.0,17.71,18.0,21.71,20.0,19.54
47,David Khrikuli,punkty,3,18.0,24.0,22.0,24.0,22.0,20.0,16.0,24.0,21.0,20.0,22.0,20.0,21.0,14.0,19.0,23.0,20.0,20.58823529411765
47,David Khrikuli,korekta,3,18.59,22.59,22.0,22.59,22.0,20.0,18.59,22.59,21.0,20.0,22.0,20.0,21.0,18.59,19.0,22.59,20.0,20.77
51,Shiori Kuwahara,punkty,3,18.0,21.0,22.0,24.0,22.0,19.0,21.0,24.0,20.0,17.0,23.0,22.0,20.0,22.0,23.0,21.0,22.0,21.235294117647058
51,Shiori Kuwahara,korekta,3,19.24,21.0,22.0,23.24,22.0,19.24,21.0,23.24,20.0,19.24,23.0,22.0,20.0,22.0,23.0,21.0,22.0,21.36
53,Hyo Lee,punkty,3,21.0,20.0,22.0,21.0,19.0,21.0,24.0,22.0,18.0,22.0,20.0,21.0,22.0,,20.0,19.0,21.0,20.8125
53,Hyo Lee,korekta,3,21.0,20.0,22.0,21.0,19.0,21.0,22.81,22.0,18.81,22.0,20.0,21.0,22.0,0.0,20.0,19.0,21.0,20.79
54,Hyuk Lee,punkty,3,17.0,18.0,20.0,24.0,20.0,20.0,23.0,21.0,20.0,19.0,20.0,19.0,21.0,,20.0,19.0,21.0,20.125
54,Hyuk Lee,korekta,3,18.13,18.13,20.0,22.13,20.0,20.0,22.13,21.0,20.0,19.0,20.0,19.0,21.0,0.0,20.0,19.0,21.0,20.03
57,Tianyou Li,punkty,3,22.0,24.0,23.0,22.0,24.0,19.0,22.0,24.0,21.0,22.0,20.0,20.0,21.0,21.0,22.0,24.0,22.0,21.941176470588236
57,Tianyou Li,korekta,3,22.0,23.94,23.0,22.0,23.94,19.94,22.0,23.94,21.0,22.0,20.0,20.0,21.0,21.0,22.0,23.94,22.0,21.98
58,Xiaoxuan Li,punkty,3,22.0,19.0,20.0,19.0,19.0,18.0,20.0,20.0,20.0,22.0,20.0,,21.0,22.0,19.0,18.0,19.0,19.875
58,Xiaoxuan Li,korekta,3,21.88,19.0,20.0,19.0,19.0,18.0,20.0,20.0,20.0,21.88,20.0,0.0,21.0,21.88,19.0,18.0,19.0,19.85
64,Tianyao Lyu,punkty,3,19.0,21.0,21.0,21.0,20.0,19.0,18.0,23.0,22.0,23.0,23.0,22.0,23.0,23.0,,20.0,23.0,21.3125
64,Tianyao Lyu,korekta,3,19.31,21.0,21.0,21.0,20.0,19.31,19.31,23.0,22.0,23.0,23.0,22.0,23.0,23.0,0.0,20.0,23.0,21.43
73,Vincent Ong,punkty,3,17.0,18.0,20.0,21.0,21.0,22.0,22.0,23.0,21.0,22.0,24.0,17.0,20.0,20.0,21.0,20.0,19.0,20.470588235294116
73,Vincent Ong,korekta,3,18.47,18.47,20.0,21.0,21.0,22.0,22.0,22.47,21.0,22.0,22.47,18.47,20.0,20.0,21.0,20.0,19.0,20.55
75,Piotr Pawlak,punkty,3,24.0,24.0,20.0,21.0,17.0,19.0,23.0,20.0,18.0,17.0,20.0,18.0,21.0,15.0,17.0,18.0,19.0,19.470588235294116
75,Piotr Pawlak,korekta,3,21.47,21.47,20.0,21.0,17.47,19.0,21.47,20.0,18.0,17.47,20.0,18.0,21.0,17.47,17.47,18.0,19.0,19.31
76,Yehuda Prokopowicz,punkty,3,23.0,22.0,22.0,18.0,19.0,18.0,18.0,22.0,19.0,18.0,21.0,18.0,22.0,18.0,18.0,19.0,19.0,19.647058823529413
76,Yehuda Prokopowicz,korekta,3,21.65,21.65,21.65,18.0,19.0,18.0,18.0,21.65,19.0,18.0,21.0,18.0,21.65,18.0,18.0,19.0,19.0,19.49
81,Miyu Shindo,punkty,3,19.0,20.0,20.0,23.0,20.0,21.0,22.0,20.0,23.0,23.0,20.0,21.0,23.0,21.0,21.0,20.0,21.0,21.058823529411764
81,Miyu Shindo,korekta,3,19.06,20.0,20.0,23.0,20.0,21.0,22.0,20.0,23.0,23.0,20.0,21.0,23.0,21.0,21.0,20.0,21.0,21.06
3,Tomoharu Ushida,punkty,3,21.0,20.0,21.0,21.0,21.0,19.0,20.0,19.0,22.0,20.0,20.0,23.0,,20.0,23.0,20.0,20.0,20.625
3,Tomoharu Ushida,korekta,3,21.0,20.0,21.0,21.0,21.0,19.0,20.0,19.0,22.0,20.0,20.0,22.63,0.0,20.0,22.63,20.0,20.0,20.58
5,Zitong Wang,punkty,3,23.0,23.0,22.0,25.0,22.0,,24.0,23.0,19.0,25.0,23.0,22.0,19.0,24.0,20.0,25.0,23.0,22.625
5,Zitong Wang,korekta,3,23.0,23.0,22.0,24.63,22.0,0.0,24.0,23.0,20.63,24.63,23.0,22.0,20.63,24.0,20.63,24.63,23.0,22.8
11,Yifan Wu,punkty,3,20.0,19.0,20.0,24.0,18.0,17.0,21.0,20.0,20.0,20.0,23.0,20.0,20.0,17.0,19.0,20.0,20.0,19.88235294117647
11,Yifan Wu,korekta,3,20.0,19.0,20.0,21.88,18.0,17.88,21.0,20.0,20.0,20.0,21.88,20.0,20.0,17.88,19.0,20.0,20.0,19.8
15,William Yang,punkty,3,21.0,19.0,20.0,21.0,21.0,20.0,19.0,18.0,21.0,24.0,21.0,,19.0,19.0,24.0,23.0,23.0,20.8125
15,William Yang,korekta,3,21.0,19.0,20.0,21.0,21.0,20.0,19.0,18.81,21.0,22.81,21.0,0.0,19.0,19.0,22.81,22.81,22.81,20.69
24,Piotr Alexewicz,punkty,3,18.0,21.0,22.0,24.0,21.0,21.0,23.0,23.0,19.0,21.0,23.0,18.0,19.0,19.0,19.0,21.0,21.0,20.764705882352942
24,Piotr Alexewicz,korekta,3,18.76,21.0,22.0,22.76,21.0,21.0,22.76,22.76,19.0,21.0,22.76,18.76,19.0,19.0,19.0,21.0,21.0,20.74
29,Kevin Chen,punkty,3,16.0,22.0,22.0,24.0,22.0,23.0,22.0,22.0,25.0,23.0,23.0,23.0,23.0,18.0,21.0,23.0,23.0,22.058823529411764
29,Kevin Chen,korekta,3,20.06,22.0,22.0,24.0,22.0,23.0,22.0,22.0,24.06,23.0,23.0,23.0,23.0,20.06,21.0,23.0,23.0,22.36
62,Eric Lu,punkty,3,23.0,24.0,20.0,23.0,22.0,,25.0,25.0,21.0,24.0,24.0,,22.0,24.0,23.0,24.0,24.0,23.2
62,Eric Lu,korekta,3,23.0,24.0,21.2,23.0,22.0,0.0,25.0,25.0,21.2,24.0,24.0,0.0,22.0,24.0,23.0,24.0,24.0,23.29
57,Tianyou Li,punkty,final,18.0,21.0,18.0,21.0,24.0,19.0,17.0,19.0,19.0,18.0,20.0,19.0,18.0,16.0,19.0,20.0,20.0,19.176470588235293
57,Tianyou Li,korekta,final,18.0,21.0,18.0,21.0,21.18,19.0,17.18,19.0,19.0,18.0,20.0,19.0,18.0,17.18,19.0,20.0,20.0,19.09
62,Eric Lu,punkty,final,20.0,22.0,19.0,25.0,20.0,,20.0,24.0,20.0,21.0,23.0,,22.0,22.0,21.0,24.0,20.0,21.533333333333335
62,Eric Lu,korekta,final,20.0,22.0,19.53,23.53,20.0,0.0,20.0,23.53,20.0,21.0,23.0,0.0,22.0,22.0,21.0,23.53,20.0,21.41
64,Tianyao Lyu,punkty,final,17.0,20.0,17.0,22.0,18.0,20.0,23.0,23.0,24.0,24.0,20.0,21.0,24.0,24.0,,19.0,22.0,21.125
64,Tianyao Lyu,korekta,final,19.13,20.0,19.13,22.0,19.13,20.0,23.0,23.0,23.13,23.13,20.0,21.0,23.13,23.13,0.0,19.13,22.0,21.25
73,Vincent Ong,punkty,final,19.0,18.0,18.0,22.0,24.0,24.0,22.0,25.0,23.0,20.0,25.0,20.0,18.0,21.0,17.0,23.0,19.0,21.058823529411764
73,Vincent Ong,korekta,final,19.06,19.06,19.06,22.0,23.06,23.06,22.0,23.06,23.0,20.0,23.06,20.0,19.06,21.0,19.06,23.0,19.06,21.04
81,Miyu Shindo,punkty,final,19.0,20.0,15.0,22.0,19.0,20.0,20.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,21.0,19.0,21.0,19.58823529411765
81,Miyu Shindo,korekta,final,19.0,20.0,17.59,21.59,19.0,20.0,20.0,20.0,20.0,21.0,20.0,19.0,19.0,18.0,21.0,19.0,21.0,19.72
5,Zitong Wang,punkty,final,19.0,25.0,20.0,21.0,18.0,,20.0,23.0,19.0,19.0,22.0,22.0,21.0,22.0,22.0,20.0,19.0,20.75
5,Zitong Wang,korekta,final,19.0,22.75,20.0,21.0,18.75,0.0,20.0,22.75,19.0,19.0,22.0,22.0,21.0,22.0,22.0,20.0,19.0,20.64
15,William Yang,punkty,final,19.0,19.0,16.0,21.0,23.0,20.0,18.0,17.0,22.0,23.0,22.0,,23.0,19.0,23.0,21.0,20.0,20.375
15,William Yang,korekta,final,19.0,19.0,18.38,21.0,22.38,20.0,18.38,18.38,22.0,22.38,22.0,0.0,22.38,19.0,22.38,21.0,20.0,20.48
24,Piotr Alexewicz,punkty,final,19.0,22.0,19.0,24.0,19.0,21.0,25.0,22.0,19.0,22.0,23.0,22.0,22.0,18.0,20.0,22.0,23.0,21.294117647058822
24,Piotr Alexewicz,korekta,final,19.29,22.0,19.29,23.29,19.29,21.0,23.29,22.0,19.29,22.0,23.0,22.0,22.0,19.29,20.0,22.0,23.0,21.3
29,Kevin Chen,punkty,final,19.0,24.0,21.0,25.0,24.0,20.0,19.0,21.0,24.0,21.0,21.0,21.0,23.0,20.0,21.0,21.0,23.0,21.647058823529413
29,Kevin Chen,korekta,final,19.65,23.65,21.0,23.65,23.65,20.0,19.65,21.0,23.65,21.0,21.0,21.0,23.0,20.0,21.0,21.0,23.0,21.58
47,David Khrikuli,punkty,final,17.0,25.0,17.0,21.0,20.0,23.0,20.0,24.0,21.0,23.0,22.0,20.0,22.0,17.0,18.0,22.0,19.0,20.647058823529413
47,David Khrikuli,korekta,final,18.65,22.65,18.65,21.0,20.0,22.65,20.0,22.65,21.0,22.65,22.0,20.0,22.0,18.65,18.65,22.0,19.0,20.72
51,Shiori Kuwahara,punkty,final,19.0,21.0,16.0,23.0,20.0,19.0,21.0,22.0,21.0,16.0,24.0,23.0,21.0,21.0,23.0,23.0,21.0,20.823529411764707
51,Shiori Kuwahara,korekta,final,19.0,21.0,18.82,22.82,20.0,19.0,21.0,22.0,21.0,18.82,22.82,22.82,21.0,21.0,22.82,22.82,21.0,21.04
